model,rouge1_prec,rouge1_recall,rouge1_fmeasure,rougeL_prec,rougeL_recall,rougeL_fmeasure
facebook/bart-large-cnn,0.3733310139587743,0.17923657447821756,0.22334199767070884,0.23678706201672076,0.11410521507922977,0.1417605202148881
distillbart_cnn_protocols,0.5167285272143162,0.31255265260804205,0.36148575924564114,0.31190823181329114,0.1958300176223994,0.22209778958825407
distillbart_xsum_protocols,0.6171505165696453,0.20466150300528085,0.2879546301481149,0.39989569854661644,0.13315006891898234,0.18701843726069942
tf_extractive,0.23013313467788457,0.29965674163438477,0.24215590463994321,0.12609182129038576,0.16650983175220446,0.13274466227681178
